updated,power_value
2019-01-06 05:55:53,106474.9
2019-01-06 06:05:53,106477.0
2019-01-06 06:15:53,106480.7
2019-01-06 06:25:53,106484.3
2019-01-06 06:35:53,106486.59999999999
2019-01-06 06:45:53,106488.09999999999
2019-01-06 06:55:53,106489.7
2019-01-06 07:05:53,106491.8
2019-01-06 07:15:53,106493.4
2019-01-06 07:25:53,106494.5
2019-01-06 07:35:53,106496.1
2019-01-06 07:45:53,106498.0
2019-01-06 07:55:53,106499.4
2019-01-06 08:05:53,106517.0
2019-01-06 08:15:53,106519.3
2019-01-06 08:25:53,106522.9
2019-01-06 08:35:53,106526.5
2019-01-06 08:45:53,106529.8
2019-01-06 08:55:53,106533.7
2019-01-06 09:05:53,106536.7
2019-01-06 09:15:53,106539.2
2019-01-06 09:25:53,106543.4
2019-01-06 09:35:53,106546.1
2019-01-06 09:45:53,106549.0
2019-01-06 09:55:53,106551.8
2019-01-06 10:05:53,106554.09999999999
2019-01-06 10:15:53,106556.3
2019-01-06 10:25:53,106560.2
2019-01-06 10:35:53,106564.5
2019-01-06 10:45:53,106569.1
2019-01-06 10:55:53,106573.0
2019-01-06 11:05:53,106575.1
2019-01-06 11:15:53,106578.7
2019-01-06 11:25:53,106580.1
2019-01-06 11:35:53,106584.6
2019-01-06 11:45:53,106588.09999999999
2019-01-06 11:55:53,106591.9
2019-01-06 12:05:53,106593.8
2019-01-06 12:15:53,106598.3
2019-01-06 12:25:53,106600.9
2019-01-06 12:35:53,106604.1
2019-01-06 12:45:53,106608.6
2019-01-06 12:55:53,106612.79999999999
2019-01-06 13:05:53,106616.40000000001
2019-01-06 13:15:53,106618.7
2019-01-06 13:25:53,106622.59999999999
2019-01-06 13:35:53,106624.2
2019-01-06 13:45:53,106628.4
2019-01-06 13:55:53,106631.9
2019-01-06 14:05:53,106634.1
2019-01-06 14:15:53,106636.6
2019-01-06 14:25:53,106641.3
2019-01-06 14:35:53,106644.1
2019-01-06 14:45:53,106648.3
2019-01-06 14:55:53,106650.90000000001
2019-01-06 15:05:53,106655.1
2019-01-06 15:15:53,106657.1
2019-01-06 15:25:53,106660.0
2019-01-06 15:35:53,106663.2
2019-01-06 15:45:53,106665.6
2019-01-06 15:55:53,106668.8
2019-01-06 16:05:53,106672.7
2019-01-06 16:15:53,106676.6
2019-01-06 16:25:53,106678.9
2019-01-06 16:35:53,106683.09999999999
2019-01-06 16:45:53,106686.2
2019-01-06 16:55:53,106688.2
2019-01-06 17:05:53,106691.29999999999
2019-01-06 17:15:53,106694.3
2019-01-06 17:25:53,106697.6
2019-01-06 17:35:53,106700.6
2019-01-06 17:45:53,106704.3
2019-01-06 17:55:53,106707.1
2019-01-06 18:05:53,106709.5
2019-01-06 18:15:53,106714.1
2019-01-06 18:25:53,106716.3
2019-01-06 18:35:53,106720.0
2019-01-06 18:45:53,106723.2
2019-01-06 18:55:53,106726.8
2019-01-06 19:05:53,106730.2
2019-01-06 19:15:53,106734.1
2019-01-06 19:25:53,106736.6
2019-01-06 19:35:53,106740.4
2019-01-06 19:45:53,106743.2
2019-01-06 19:55:53,106745.4
2019-01-06 20:05:53,106748.4
2019-01-06 20:15:53,106752.4
2019-01-06 20:25:53,106754.0
2019-01-06 20:35:53,106761.0
2019-01-06 20:45:53,106764.90000000001
2019-01-06 20:55:53,106767.7
2019-01-06 21:05:53,106771.79999999999
2019-01-06 21:15:53,106774.5
2019-01-06 21:25:53,106777.8
2019-01-06 21:35:53,106780.6
2019-01-06 21:45:53,106783.9
2019-01-06 21:55:53,106788.7
2019-01-06 22:05:53,106792.9
2019-01-06 22:15:53,106796.3
2019-01-06 22:25:53,106799.4
2019-01-06 22:35:53,106805.7
2019-01-06 22:45:53,106809.0
2019-01-06 22:55:53,106811.7
2019-01-06 23:05:53,106813.29999999999
